 Dental Aquaro PC; General Dentistry; 0; 0; Elmhurst; 9603 Roosevelt Avenue, Corona, NY 11368; (718) 396-9711 
 Diagnostic Services; null; 0; 0; Upper East Side; 115 E 86th St, New York, NY 10028; (212) 722-2270 
 Diagnostic Svc; null; 0; 0; Van Nest; 2016 Bronxdale Avenue, Bronx, NY 10462; (718) 792-4100 
 Directors Network of Region 2; null; 0; 0; Midtown West; 5 W 37th Street, New York, NY 10018; (212) 382-0699 
 Laboratories Management; null; 0; 0; Downtown Flushing, Flushing; 4004 Bowne St, Flushing, NY 11354; (718) 461-0455 
 Laboratories Management; null; 0; 0; Rossville; 21 Alverson Loop, Staten Island, NY 10309; (718) 948-3284 
 Laboratories Management; null; 0; 0; Theater District, Midtown West; 205 W 54th St, New York, NY 10019; (212) 969-9064 
 Laboratories Management; null; 0; 0; Yorkville, Upper East Side; 178 E 85th St, New York, NY 10028; (212) 249-7395 
 Laboratories; null; 0; 0; Borough Park; 1877 58th St, Brooklyn, NY 11204; (718) 837-0701 
 Laboratories; null; 0; 0; East Flatbush; 432 Linden Blvd, Brooklyn, NY 11203; (718) 941-5659 
 Laboratory Mngmnt; null; 0; 0; Ocean Parkway, Flatbush; 152 Parkville Ave, Brooklyn, NY 11230; (718) 686-1950 
 Labs; null; 0; 0; Jackson Heights; 9020 Elmhurst Ave, Jackson Heights, NY 11372; (718) 426-6984 
 Logic; Health & Medical, Professional Services; 0; 0; Midtown East; 18 E 48th St, Manhattan, NY 10017; (212) 888-9788 
 Nueva Esperanza; Counseling & Mental Health; 0; 0; Jackson Heights; 37-20 76th St, Jackson Heights, NY 11372; (718) 478-1526 
 Staffing Resources; Physical Therapy; 0; 0; Williamsburg - South Side, South Williamsburg; 420 Broadway, Brooklyn, NY 11211; (718) 669-7373 
111 Nassau ; Doctors; 0; 0; Greenpoint; 111 Nassau Avenue, Brooklyn, NY 11222; (718) 349-2349 
12th Meridian Holistic Center; Chiropractors, Massage Therapy; 4.0 star rating; 1 review; Greenwich Village; 34 W 12th St, Manhattan, NY 10011; (212) 989-0850 
161st Street Dental ; General Dentistry; 0; 0; Concourse Village; 305 E 161st St, Bronx, NY 10451; (718) 410-3607 
181st Street Urgent Care Center; Urgent Care, Medical Centers, Doctors; 1.5 star rating; 11 reviews; Washington Heights; 521 W 181st St, New York, NY 10033; (347) 756-6000 
20 East Chiropractic of Midtown; Chiropractors; 5.0 star rating; 11 reviews; Midtown East; 20 E 46th St, New York, NY 10017; (212) 687-3865 
21 Avenue Animal ; Veterinarians; 3.0 star rating; 7 reviews; Steinway; 2127 21st Ave, Astoria, NY 11105; (718) 777-5452 
212 Smiling; Oral Surgeons, Cosmetic Dentists, General Dentistry; 3.0 star rating; 26 reviews; Hell's Kitchen, Midtown West; 314 W 56th St, New York, NY 10019; (212) 764-5464 
34th Street Chiropractic and Wellness; Chiropractors, Physical Therapy; 3.0 star rating; 6 reviews; Hell's Kitchen, Midtown West; 469 7th Ave, New York, NY 10018; (212) 268-7366 
34th Street Dental; General Dentistry, Periodontists, Cosmetic Dentists; 3.5 star rating; 26 reviews; Midtown West; 225 W 35th St, New York, NY 10001; (212) 564-8164 
3gTCM; Acupuncture; 5.0 star rating; 2 reviews; Midtown East, Murray Hill; 161 Madison Ave, New York, NY 10016; (646) 329-5422 
42nd Street Dental Associates; General Dentistry; 1.5 star rating; 24 reviews; Theater District, Hell's Kitchen, Midtown West; 330 W 42nd St, Manhattan, NY 10036; (212) 631-0222 
44th Street Chiropractic; Chiropractors; 3.0 star rating; 23 reviews; Midtown West; 15 W 44th St, New York, NY 10036; (212) 944-0707 
48th St Holistic Medical; Acupuncture, Massage, Physical Therapy; 5.0 star rating; 11 reviews; Theater District, Midtown West; 723 7th Ave, New York, NY 10019; (212) 470-0360 
5 Point Acupuncture; Acupuncture; 5.0 star rating; 5 reviews; Flatiron; 37 W 20th St, New York, NY 10011; (646) 256-1657 
5500 Broadway Dental ; Pediatric Dentists, General Dentistry; 0; 0; Kingsbridge; 5500 Broadway, Bronx, NY 10463; (347) 577-4950 
8 Point Wellness; Acupuncture; 5.0 star rating; 2 reviews; Flatiron; 928 Broadway, Manhattan, NY 10010; (646) 734-5175 
80 Wall Street Dental; General Dentistry; 5.0 star rating; 13 reviews; Financial District; 80 Wall St, Manhattan, NY 10005; (212) 742-2070 
A Paul Vastola, MD, FACS; Ear Nose & Throat; 0; 0; Brooklyn Heights; 300 Cadman Plaza W, Ste 1301, Brooklyn, NY 11201; (718) 208-4449 
A Tribeca Hypnosis & Healing Institute; Hypnosis/Hypnotherapy, Counseling & Mental Health; 0; 0; TriBeCa; New York, NY 10013; (212) 334-0299 
A-1 Alignment Muffler Brake ; null; 0; 0; Yorkville, Upper East Side; 420 E 91st St, New York, NY 10128; (800) 287-0518 
A-Z Dental, PC; General Dentistry; 2.5 star rating; 11 reviews; Park Slope, South Slope; 332 9th St, Brooklyn, NY 11215; (718) 832-1222 
ALPHA K FAMILY PRACTICE ATTN: EMMANUEL FASHAKIN MD; Family Practice; 5.0 star rating; 1 review; Richmond Hill; 103-22 Jamaica Ave, Richmond Hill, NY 11418; (718) 849-0702 
AMM Health Services, Inc.; Acupuncture; 0; 0; Washington Heights, Inwood; 336 Riverside Dr, New York, NY 10025; (212) 866-6316 
ARVERNE DENTAL; Cosmetic Dentists, General Dentistry; 0; 0; Somerville; 324 Beach 59th Street, Arverne, NY 11692; (718) 945-9500 
Aaron Agne; Life Coach, Counseling & Mental Health; 0; 0; Union Square, Greenwich Village; 24 E 12th St, Manhattan, NY 10003; (646) 926-7416 
Aaron Mandel,OD; Optometrists; 0; 0; Downtown Brooklyn, Boerum Hill; 228 Livingston St, Brooklyn, NY 11201; (718) 625-2137 
Abe Stark Arena; Skating Rinks; 4.5 star rating; 2 reviews; Coney Island; 1902 Surf Ave, New York, NY 11224; (718) 946-3135 
Abeer Dabbas, OB/GYN; Obstetricians & Gynecologists; 0; 0; Astoria; 2849 37th St, Astoria, NY 11103; (718) 278-0672 
Abjanich James, DDS; Oral Surgeons; 3.5 star rating; 3 reviews; Midtown East, Murray Hill; 60 E 42nd St, New York, NY 10165; (212) 986-4830 
Abortion  Clinic  of Eastern Women’s Center; null; 0; 0; Midtown East; 38 E 30th Street, New York, NY 10016; (212) 686-6066 
Abrahams Michael MD; Doctors; 5.0 star rating; 1 review; Fort Hamilton, Bay Ridge; 9201 4th Avenue, Brooklyn, NY 11209; (718) 748-1234 
Abramson David MD PC; Doctors; 1.0 star rating; 1 review; Upper East Side; 42 E 74th Street # A, New York, NY 10021; (212) 774-1828 
