ThirdEyeChic Optometry; Optometrists; 3.5 star rating; 8 reviews; Battery Park; 220 Murray St, New York, NY 10282; (212) 227-0360
Battery Park Dental Group; General Dentistry, Endodontists; 3.5 star rating; 21 reviews; Battery Park; 375 S End Ave, New York, NY 10280; (212) 619-4070
Emergency Dentist NYC; Dentists; 4.5 star rating; 62 reviews; Union Square, East Village; 100 E 12th St, New York, NY 10003; (917) 512-6468
DR Walk In; Medical Centers; 3.5 star rating; 10 reviews; Union Square, East Village, Greenwich Village; 52 E 14 St, Manhattan, NY 10003; (888) 535-6963
Ryan-NENA Community Heath Center; Medical Centers, General Dentistry; 3.0 star rating; 12 reviews; East Village, Alphabet City; 279 E 3rd St., NY, NY 10009; (212) 477-8500
Village Dental NYC; Cosmetic Dentists, General Dentistry; 4.5 star rating; 13 reviews; Union Square, East Village, Greenwich Village; 77 E 12th St, New York, NY 10009; (212) 674-2024
Dave Ores, MD; Doctors; 4.0 star rating; 14 reviews; East Village, Alphabet City; 189 E 2nd St, New York, NY 10009; (212) 353-3020
Michael Chang, DDS; General Dentistry, Cosmetic Dentists, Pediatric Dentists; 4.0 star rating; 8 reviews; East Village; 184 2nd Ave, New York, NY 10003; (212) 460-8266
New York Eye and Ear Infirmary - Urgent Care ENT; Ear Nose & Throat; 2.0 star rating; 4 reviews; Gramercy, East Village; 310 E 14th St, New York, NY 10009; (212) 979-4192
Sujan Patel, MD; Allergists; 5.0 star rating; 1 review; Gramercy, East Village; 310 E 14th St, 6th Fl, New York, NY 10003; (646) 943-7931
Gentile Ronald Dr; Doctors; 5.0 star rating; 9 reviews; Gramercy, East Village; 310 E 14th St, New York, NY 10003; (212) 979-4120
Village Eyecare; Optometrists, Eyewear & Opticians; 4.0 star rating; 94 reviews; East Village; 150 Second Ave, New York, NY 10003; (212) 780-6080
The Mount Sinai Hospital; Hospitals, Cardiologists; 3.0 star rating; 86 reviews; East Harlem; 1468 Madison Ave, New York, NY 10029; (212) 241-6500
Sandy M Fung, MD; Family Practice; 4.0 star rating; 31 reviews; Chinatown; 17 Elizabeth St, New York, NY 10013; (212) 925-5230
East River Eye Center; Optometrists; 2.0 star rating; 1 review; East Harlem; 517 E117th St, New York, NY 10035; (212) 896-5886
Therapists 2 Go; Occupational Therapy, Home Health Care; 0; 0; East Harlem; 18 E 116th St, New York, NY 10029; (718) 510-4715
Smile Family Dentist; General Dentistry; 0; 0; East Harlem; 247 E 116th St, New York, NY 10029; (212) 410-3909
East Harlem Community Dental; Dentists; 4.0 star rating; 1 review; East Harlem; 2022 Lexington Avenue, New York, NY 10035; (212) 987-0777
Mount Sinai Hospital; Neurologist, Pulmonologist; 4.0 star rating; 1 review; East Harlem; 5 E 98th St, New York, NY 10029; (212) 241-5315
Odyssey; Cannabis Clinics; 0; 0; East Harlem; 239 E 121st St, New York, NY 10035; (212) 987-5100
Metropolitan Hospital; Hospitals; 2.0 star rating; 14 reviews; East Harlem; 1901 1st Avenue, New York, NY 10029; (212) 423-6898
Mt. Sinai Kidney Ctr; Dialysis Clinics; 0; 0; East Harlem; 1 Gustave L Levy Pl, New York, NY 10029; (212) 241-8081
Tribeca Dental Care; General Dentistry, Cosmetic Dentists; 4.5 star rating; 56 reviews; Chinatown; 402 Broadway, New York, NY 10013; (212) 431-4582
Focus Occupational Therapy, PC; Physical Therapy, Occupational Therapy; 5.0 star rating; 5 reviews; Chinatown; 139 Centre St, New York, NY 10013; (212) 966-1288
Manhattan Bridge Orthodonticss; Orthodontists; 4.5 star rating; 50 reviews; Chinatown; 145 Canal St, New York, NY 10002; (212) 274-0477
Clinton Lee Physical Therapy, LLC; Physical Therapy, Trainers; 5.0 star rating; 4 reviews; Chinatown, TriBeCa; 395 Broadway, Manhattan, NY 10013; (917) 816-6412
Charles B Wang Community Health Center; Medical Centers; 2.5 star rating; 14 reviews; Chinatown; 268 Canal St, New York, NY 10013; (212) 379-6988
Charles B. Wang Community Health Center; Medical Centers; 3.5 star rating; 9 reviews; Chinatown; 125 Walker Street, New York, NY 10013; 
Magical Acupuncture PC; Acupuncture, Traditional Chinese Medicine, Massage Therapy; 5.0 star rating; 1 review; Chinatown; 17 E Broadway, New York, NY 10002; (212) 406-2439
Center For Autism and Related Disorders; Counseling & Mental Health; 0; 0; East Harlem; 14 E 109th St, New York, NY 10029; (855) 345-2273
