1 Barker Little Learning Tree; Preschools, Child Care & Day Care; 0; 0; Port Richmond; 1 Barker St, Staten Island, NY 10310; (855) 334-8631 
43rd Street Kids Preschool; Elementary Schools, Preschools; 0; 0; Hell's Kitchen, Midtown West; 484 W 43rd Street, New York, NY 10036; (212) 564-7496 
74th St. MAGIC; Preschools; 3.5 star rating; 2 reviews; Yorkville, Upper East Side; 510 E 74th St, Manhattan, NY 10021; (212) 737-2989 
92nd Street Y Art Center; Elementary Schools, Preschools, Art Schools; 0; 0; Upper East Side; 1395 Lexington Ave, New York, NY 10128; (212) 415-5562 
A B Sea Group Family Day Care; Preschools, Child Care & Day Care; 5.0 star rating; 2 reviews; East Harlem; 22 E 112th St, Manhattan, NY 10029; (347) 201-2717 
A Child’s Place; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; North Corona; 3220 108th St, East Elmhurst, NY 11369; (718) 565-2170 
A Learning Odyssey Daycare; Preschools, Child Care & Day Care; 5.0 star rating; 1 review; Astoria; 30-83 30th St, Astoria, NY 11102; (718) 956-5390 
A+ Eagle; Preschools, Test Preparation, Private Tutors; 5.0 star rating; 1 review; Flatbush; 1307 Foster Ave, Brooklyn, NY 11230; (347) 533-7113 
ABC Child Center, Inc.; Child Care & Day Care, Preschools; 4.0 star rating; 7 reviews; Greenpoint; 109 Nassau Ave, Brooklyn, NY 11222; (718) 389-9004 
ABC Child Center; Preschools; 0; 0; Greenpoint; 109 Nassau Ave, Greenpoint, NY 11222; (718) 389-9004 
ABC Infant & Toddler Center, Inc.; Child Care & Day Care; 0; 0; Greenpoint; 109 Nassau Ave, Brooklyn, NY 11222; (718) 389-9004 
ABC Preschool & Kindergarten Center; Preschools, Child Care & Day Care; 0; 0; Woodside; 66-20 Laurel Hill Blvd, Woodside, NY 11377; (718) 672-2424 
ABC do re me; Preschools, Musical Instruments & Teachers; 0; 0; Upper West Side; 2537 Broadway, New York, NY 10025; (646) 434-1419 
Abc Playhouse; Preschools, Child Care & Day Care; 0; 0; New Lots; 665 New Jersey Ave, Brooklyn, NY 11207; (718) 928-7155 
Abc Preschool; Child Care & Day Care; 0; 0; Soundview; 710 Rosedale Ave, Bronx, NY 10473; (917) 645-4502 
Academy of Christ Children; Child Care & Day Care, Preschools, Elementary Schools, Middle Schools & High Schools, Religious Organizations; 0; 0; Rego Park, Middle Village; 6433 Woodhaven Boulevard, Rego Park, NY 11374; (718) 897-4343 
Academy of Excellence; Child Care & Day Care, Preschools, Elementary Schools; 1.0 star rating; 1 review; Jamaica Estates; 178-36 Wexford Ter, Jamaica Estates, NY 11432; (718) 523-4400 
Achieve Beyond Pediatric Therapy & Autism Services; Professional Services, Preschools, Pediatricians; 2.5 star rating; 7 reviews; Forest Hills; 7000 Austin St, Forest Hills, NY 11375; (718) 762-7633 
Acorn School; Child Care & Day Care, Preschools, Elementary Schools; 0; 0; Kips Bay; 330 E 26th Street, New York, NY 10010; (212) 684-0230 
Adventureland Child Care; Child Care & Day Care; 0; 0; Woodside; 4131 58 St, Woodside, NY 11377; (718) 274-4769 
Adventureland Child Care; Child Care & Day Care; 4.5 star rating; 2 reviews; Astoria; 3204 31st Ave, Astoria, NY 11106; (718) 777-0311 
Adventureland Preschool; null; 0; 0; Astoria, Long Island City; 3134 33rd St, Astoria, NY 11106; (718) 777-5918 
Aleph Bet Academy; Child Care & Day Care, Preschools; 5.0 star rating; 3 reviews; Briarwood; 84-75 Daniels St, Jamaica, NY 11435; (347) 551-2479 
All American; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Flatbush; 2257 Church Avenue, Brooklyn, NY 11226; (718) 693-1400 
All Children’s Child Care; Child Care & Day Care; 0; 0; Astoria; 35-01 24 Street, Long Island City, NY 11106; (718) 707-0501 
All My Children Daycare & Nursery Schools; Preschools, Child Care & Day Care; 5.0 star rating; 1 review; Lower East Side; 112 Ridge St, New York, NY 10002; (212) 419-5416 
All Seasons Day Care; Child Care & Day Care, Preschools; 0; 0; Wakefield; 1701 Nereid Ave, Bronx, NY 10466; (718) 324-8300 
All Souls School; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Upper East Side; 1157 Lexington Avenue, New York, NY 10021; (212) 861-3951 
Allen Christian Preschool; Elementary Schools, Preschools, Middle Schools & High Schools; 0; 0; Rochdale; 11432 Merrick Boulevard, Jamaica, NY 11434; (718) 883-1303 
Alpha Fundamental Preschool; Child Care & Day Care; 0; 0; Queens Village; 21830 Hempstead Ave, Queens Village, NY 11429; (718) 740-1010 
Alpha Preschool Kindergarten; null; 0; 0; Flatbush; 1118 Rogers Ave, Brooklyn, NY 11226; (718) 284-3987 
Amazing Magic Beans; Child Care & Day Care, Elementary Schools, Preschools; 4.0 star rating; 4 reviews; Sunnyside; 4312 46th St, Sunnyside, NY 11104; (718) 786-8091 
Amiguitos Spanish Montessori; Preschools; 0; 0; Upper West Side; 131 W 87th St, New York, NY 10024; (917) 962-6353 
Annie G Newsome Headstart Center; Elementary Schools, Preschools; 0; 0; Harlem; 129 Odell Clark Pl, New York, NY 10030; (212) 690-2869 
Apple Seeds UWS; Preschools; 0; 0; Upper West Side; 200 West End Ave, New York, NY 10023; (212) 792-7591 
Appleseed Workshop; Preschools, Tutoring Centers; 0; 0; Manhattan Valley; 950 W Columbus Ave, New York, NY 10025;  
Arc En Ciel; Preschools; 5.0 star rating; 2 reviews; Yorkville, Upper East Side; 1656 Third Ave at 93rd St, New York, NY 10128; (212) 410-0180 
Archdiocese of New York Head Start Program; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; East Village, Alphabet City; 137 E 2nd Street, New York, NY 10009; (212) 677-7766 
AstoriaPlaySchool; Child Care & Day Care, Preschools; 4.0 star rating; 1 review; Astoria; 25-90 41st St, Astoria, NY 11103; (718) 545-1403 
Augustana Lutheran Preschool; Elementary Schools, Preschools, Middle Schools & High Schools; 0; 0; Astoria Heights; 6905 Ditmars Boulevard, East Elmhurst, NY 11370; (718) 626-5957 
Avalon Childcare Centers; Preschools; 2.5 star rating; 3 reviews; Park Slope, South Slope; 552 5th Ave, Brooklyn, NY 11215; (718) 768-4300 
Awesome Bunnies Childcare; Preschools, Child Care & Day Care; 0; 0; Williamsburg - South Side; 349 Keap St, Brooklyn, NY 11211; (718) 302-4400 
BWY Pre School; Preschools; 0; 0; Elmhurst; 7714 Roosevelt Ave, Flushing, NY 11372; (718) 205-4855 
Baby Fingers; Language Schools, Preschools; 0; 0; Upper West Side; New York, NY 10001; (212) 874-5978 
Baby Green Daycare; Child Care & Day Care; 0; 0; Midwood; 1372 E 14th St, Brooklyn, NY 11230; (646) 883-1448 
Baby Moves NYC; Child Care & Day Care, Preschools; 5.0 star rating; 1 review; West Village; 155 Bank St, New York, NY 10014; (212) 255-1685 
Baby Steps Daycare Center; Preschools, Child Care & Day Care; 4.5 star rating; 6 reviews; Forest Hills; 99-06 Metropolitan Ave, New York, NY 11375; (718) 559-8717 
Bam Bam’s Playhouse; Preschools; 0; 0; Brighton Beach; 714 Banner Ave, Brooklyn, NY 11235; (718) 332-3974 
Bambi Child Care; Preschools; 5.0 star rating; 1 review; Windsor Terrace; 1220 Prospect Ave, Brooklyn, NY 11218; (718) 499-2299 
Bambi Day Care Center; Child Care & Day Care; 0; 0; Bedford Stuyvesant; 138 Hancock St, Brooklyn, NY 11216; (718) 230-3487 
Bambi Day Care; Child Care & Day Care; 1.0 star rating; 1 review; Crown Heights; 300 Rogers Ave, Brooklyn, NY 11225; (718) 771-1603 
Bank Street Head Start; Child Care & Day Care; 5.0 star rating; 1 review; East Village; 113 E 13th StLbby, New York, NY 10009; (212) 353-2532 
Bank Street Head Start; Preschools, Child Care & Day Care; 0; 0; East Village, Alphabet City; 535 E 5th St, New York, NY 10009; (212) 353-2532 
Barrow St Nursery School; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; West Village; 27 Barrow Street, New York, NY 10014; (212) 633-1203 
Battery Park City All Day Nursery; Child Care & Day Care, Preschools, Elementary Schools; 0; 0; Battery Park; 215 S End Ave, New York, NY 10280; (212) 945-0088 
Battery Park City School; Preschools, Elementary Schools; 3.0 star rating; 1 review; Battery Park; 55 Battery Pl, New York, NY 10280;  
Baxter Street After School Daycare; Elementary Schools, Preschools; 0; 0; Little Italy; 143 Baxter Street, New York, NY 10013; (212) 431-8574 
Bay Ridge Ave Child Care; Child Care & Day Care; 0; 0; Dyker Heights; 1206 Bay Ridge Ave, Brooklyn, NY 11219; (718) 680-3544 
Bayside Bundles of Joy; Child Care & Day Care, Preschools; 5.0 star rating; 1 review; Bayside; 2806 203rd St, Bayside, NY 11360; (718) 869-4200 
Beansprouts; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Park Slope; 421 7th St, Brooklyn, NY 11215; (718) 369-4057 
BedRock Preschool; Child Care & Day Care, Preschools; 0; 0; Spuyten Duyvil; 3220 Arlington Avenue Suite 5  Bronx, NY 10463, Bronx, NY 10463; (718) 884-0020 
Bedford Stuyvesant Early Childhood Dev Center; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Bedford Stuyvesant; 510 Quincy St, Brooklyn, NY 11221; (718) 455-4806 
Bedford Stuyvesant Early Childhood Development; Child Care & Day Care, Preschools; 0; 0; Clinton Hill; 5 Quincy St, Brooklyn, NY 11238; (718) 230-8135 
Beginning With Children Foundation; Elementary Schools, Preschools; 0; 0; Midtown East; 575 Lexington Avenue, New York, NY 10022; (212) 750-9320 
Beginnings Nursery School; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Gramercy; 130 E 16th Street, New York, NY 10003; (212) 228-5679 
Bellerose Preschool; null; 0; 0; Bellerose; 8359 249th St, Bellerose, NY 11426; (718) 347-5069 
Bellevue Educare Chilcare Center; Elementary Schools, Child Care & Day Care, Specialty Schools, Preschools; 0; 0; Kips Bay, Stuyvesant Town; 462 1st Avenue, New York, NY 10016; (212) 679-2393 
Belmont Community Day Care Center; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Belmont; 2340 Cambreleng Ave, Bronx, NY 10458; (718) 584-1576 
Bethel Christian Nursery School; Elementary Schools, Middle Schools & High Schools, Preschools; 0; 0; Flushing, Murray Hill; 14906 41st Ave, Flushing, NY 11355; (718) 460-1004 
Beybeesit Daycare; Preschools, Child Care & Day Care; 4.5 star rating; 4 reviews; Gowanus, South Slope; 176 14th St, Brooklyn, NY 11215; (347) 763-0464 
Beyond Basic Learning; Child Care & Day Care, Preschools; 0; 0; Clinton Hill; 163 Washington Ave, Clinton Hill, NY 11205; (201) 798-0071 
Big Bird’s Playhouse; Child Care & Day Care, Preschools; 1.0 star rating; 2 reviews; New Springville; 1859 Richmond Ave, Staten Island, NY 10314; (718) 982-0550 
Big Steps Prep Day Care, Inc; Preschools; 5.0 star rating; 1 review; Jamaica; 191-30 120th Ave, Queens, NY 11412; (347) 552-9343 
Bija Kids; Preschools, Art Schools; 4.0 star rating; 5 reviews; Clinton Hill; 900 Fulton St, Brooklyn, NY 11238; (347) 294-0653 
Bilingual Seit; Elementary Schools, Physical Therapy, Preschools; 0; 0; Flushing, Murray Hill; 15007 Northern Boulevard, Flushing, NY 11354; (718) 353-2330 
Birch Herbert Early Childhood Center; Elementary Schools, Preschools; 0; 0; Washington Heights; 554 Fort Washington Avenue, New York, NY 10033; (212) 740-5157 
Bloomingdale Family Program; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Manhattan Valley; 125 W 109th Street, New York, NY 10025; (212) 663-4067 
Bobov Worldwide Headstart; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Kew Gardens; 13411 Hillside Ave, Richmond Hill, NY 11418; (718) 805-2252 
Book Nook; Preschools; 0; 0; Upper West Side; 167 W 81st St, Manhattan, NY 10024; (212) 873-2665 
Books and Rattles Preschool; Child Care & Day Care; 1.5 star rating; 2 reviews; Middle Village, Maspeth; 63-08 69th Pl, Middle Village, NY 11379; (718) 381-7777 
Braithwaite Nursery School; Preschools; 5.0 star rating; 2 reviews; Beechurst; 16021 13th Ave, Beechhurst, NY 11357; (718) 767-2776 
Brearley School; Elementary Schools, Preschools, Middle Schools & High Schools; 5.0 star rating; 2 reviews; Yorkville, Upper East Side; 610 E 83rd St, New York, NY 10028; (212) 570-8500 
Bricks 4 Kidz - Staten Island; Child Care & Day Care, Party & Event Planning; 5.0 star rating; 2 reviews; Princes Bay; 72 Sharrott Ave, Staten Island, NY 10309; (718) 984-5439 
Bricks 4 Kidz NYC; Preschools; 0; 0; Chelsea; 220 W 26th St, New York, NY 10001; (646) 979-0211 
Bricks 4 Kidz; Elementary Schools; 5.0 star rating; 1 review; Prospect Heights; 66 6th Ave, Brooklyn, NY 11217; (347) 699-3095 
Bricks 4 kidz - Queens; Educational Services, Kids Activities, Day Camps; 0; 0; East New York; Queens, NY 11208; (917) 832-1733 
Bright Beginning Daycare Inc.; Preschools, Child Care & Day Care; 0; 0; Rockaway Park; 159 Beach 119 St, Rockaway Park, NY 11694; (347) 239-9868 
Bright Beginnings; Child Care & Day Care, Preschools; 4.0 star rating; 1 review; Briarwood; 8625 162nd Street, Jamaica, NY 11432; (718) 297-6767 
Bright Beginnings; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Astoria; 3204 31st Ave, Astoria, NY 11106; (718) 777-2011 
Bright Beginnings; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Astoria; 3501 24th St, Long Island City, NY 11106; (718) 707-0501 
Bright Beginnings; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Woodside; 4131 58th St, Woodside, NY 11377; (718) 274-4769 
Bright Horizons At Midtown West; Preschools, Child Care & Day Care; 0; 0; Hell's Kitchen, Midtown West; 406 W 55th St, New York, NY 10019; (212) 757-2145 
